layer_1_neurons,layer_2_neurons,epochs,learning_rate,batch_size,elapsed_time,val_rmse,val_mape,val_R2_score,val_R,test_rmse,test_mape,test_R2_score,test_R
125,100,100,0.0001,4098,99.8748300075531,207025.85423081822,0.23252548277378082,0.7866383194923401,0.8874855961430942,291753.2923824511,0.3289833068847656,0.6578609943389893,0.8115313586488668
125,100,125,0.0001,4098,123.93351984024048,204357.47189667422,0.21149608492851257,0.7921029925346375,0.8900413591707976,292483.90719490877,0.330385684967041,0.6561452150344849,0.812711748189921
125,100,250,0.0001,4098,253.01985025405884,200272.18854349197,0.19128179550170898,0.8003319501876831,0.8950438488479912,284202.44728010346,0.2920243442058563,0.6753416061401367,0.8220851050069615
125,100,500,0.0001,4098,486.90375328063965,197918.2383106721,0.17880073189735413,0.8049980998039246,0.8986922769690175,278596.2269378392,0.242216095328331,0.6880237460136414,0.829945042280654
200,125,10,0.0001,4098,31.4394690990448,252915.38430075778,0.41944268345832825,0.6815673112869263,0.825825626298091,397234.8997356602,0.6830549240112305,0.36574214696884155,0.6691632317955533
200,125,25,0.0001,4098,27.946677684783936,229807.5226619007,0.34280574321746826,0.737096905708313,0.8626438312232098,326597.63741950126,0.48348814249038696,0.5712568759918213,0.7641520687833334
200,125,50,0.0001,4098,52.40665531158447,220356.3403580664,0.26312825083732605,0.7582768201828003,0.8720204162782024,318319.2468450502,0.42166242003440857,0.5927164554595947,0.7750197025309926
200,125,75,0.0001,4098,79.47553539276123,208115.64046942748,0.23230229318141937,0.784386157989502,0.8856583716987796,298352.0888078379,0.3589398264884949,0.6422091722488403,0.8037935959487751
200,125,100,0.0001,4098,102.5710723400116,204680.23498129955,0.20418071746826172,0.7914457321166992,0.8899810889086649,284962.7292401587,0.2872864603996277,0.6736022233963013,0.8213933982167667
200,125,125,0.0001,4098,127.08609199523926,207179.99100299238,0.28413406014442444,0.7863205075263977,0.8922597875913738,295003.1803489583,0.38391104340553284,0.6501962542533875,0.8158690132272504
200,125,250,0.0001,4098,254.85801935195923,199381.47942073256,0.19509707391262054,0.8021040558815002,0.8961158412947485,285167.9708242144,0.2967659533023834,0.6731318831443787,0.8225944026517318
200,125,500,0.0001,4098,505.7294306755066,203377.60049720324,0.26392310857772827,0.7940918803215027,0.8958443004525944,294509.7256390695,0.4034518897533417,0.6513655185699463,0.8270011109282516
350,200,10,0.0001,4098,30.308321475982666,231025.71036142277,0.34895870089530945,0.734302282333374,0.8611574925053336,342926.67979030154,0.5975764393806458,0.5273130536079407,0.7547754360434098
350,200,25,0.0001,4098,29.42285990715027,215987.1711745862,0.2660832107067108,0.7677674293518066,0.8763177179193926,312636.04992386914,0.44808587431907654,0.607129693031311,0.7859814162650994
350,200,50,0.0001,4098,57.64508271217346,208716.27562794427,0.2700677514076233,0.7831398248672485,0.8872355052022827,306675.56569117145,0.4345623850822449,0.6219673156738281,0.7996572993342764
350,200,75,0.0001,4098,84.79759526252747,205345.44366018934,0.23188740015029907,0.7900879383087158,0.8890645772740927,296400.36923053925,0.3797258734703064,0.6468749046325684,0.8108976994487448
350,200,100,0.0001,4098,110.74537014961243,204162.36738439335,0.2181827872991562,0.7924997806549072,0.8908085078618487,290186.9111314292,0.3232133388519287,0.6615248918533325,0.8133584466742866
350,200,125,0.0001,4098,138.44869995117188,202662.95014136157,0.1982085257768631,0.7955363988876343,0.8935833835084103,286299.14827676315,0.28939324617385864,0.6705335378646851,0.8207177036359217
350,200,250,0.0001,4098,272.3595185279846,199630.56824043757,0.2123861163854599,0.8016092777252197,0.8959263622445743,286868.4615638324,0.3521091341972351,0.6692219376564026,0.8261696285572633
350,200,500,0.0001,4098,541.6695597171783,199143.79287339086,0.19183261692523956,0.8025756478309631,0.8960758921504198,285492.6875140588,0.2963431179523468,0.6723871231079102,0.823412200253547
